"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
"1332" "ÃsterÃ¥s" "1332 ÃSTERÃS" "Postboksar" "59.94371" "10.60742" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "219" "BÃ¦rum kommune"
"1333" "KolsÃ¥s" "1333 KOLSÃS" "Postboksar" "59.91658" "10.50076" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "219" "BÃ¦rum kommune"
"1334" "Rykkinn" "1334 RYKKINN" "Postboksar" "59.92418" "10.48593" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "219" "BÃ¦rum kommune"
"1335" "SnarÃ¸ya" "1335 SNARÃYA" "Postboksar" "59.88191" "10.61071" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "219" "BÃ¦rum kommune"
"1336" "Sandvika" "1336 SANDVIKA" "Gate-/veg-adresse" "59.8983" "10.4905" "3" "Koordinatane er kontrollerte av ein yr.no-brukar" "17.09.2013" "219" "BÃ¦rum kommune"
"1337" "Sandvika" "1337 SANDVIKA" "Gate-/veg-adresse" "59.8928" "10.5232" "3" "Koordinatane er kontrollerte av ein yr.no-brukar" "17.09.2013" "219" "BÃ¦rum kommune"
"1338" "Sandvika" "1338 SANDVIKA" "Gate-/veg-adresse" "59.893902" "10.515664" "2" "Koordinatane er retta av Emil MÃ¼ller" "19.09.2013" "219" "BÃ¦rum kommune"
"1339" "VÃ¸yenenga" "1339 VÃYENENGA" "Gate-/veg-adresse" "59.9082" "10.4762" "2" "Koordinatane er retta av Erik Bolstad" "17.09.2013" "219" "BÃ¦rum kommune"
"1340" "Skui" "1340 SKUI" "Gate-/veg-adresse" "59.9255" "10.4521" "2" "Koordinatane er retta av Erik Bolstad" "19.09.2013" "219" "BÃ¦rum kommune"
"1341" "Slependen" "1341 SLEPENDEN" "Gate-/veg-adresse" "59.8853" "10.5029" "2" "Koordinatane er retta av Erik Bolstad" "19.09.2013" "219" "BÃ¦rum kommune"
"1342" "Gjettum" "1342 GJETTUM" "Postboksar" "59.90869" "10.53377" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "219" "BÃ¦rum kommune"
"1344" "Haslum" "1344 HASLUM" "Gate-/veg-adresse" "59.9150" "10.5607" "2" "Koordinatane er retta av Erik Bolstad" "17.09.2013" "219" "BÃ¦rum kommune"
"1346" "Gjettum" "1346 GJETTUM" "Gate-/veg-adresse" "59.9060" "10.5215" "2" "Koordinatane er retta av Erik Bolstad" "17.09.2013" "219" "BÃ¦rum kommune"
"1348" "Rykkinn" "1348 RYKKINN" "Gate-/veg-adresse" "59.9273" "10.4882" "3" "Koordinatane er kontrollerte av ein yr.no-brukar" "17.09.2013" "219" "BÃ¦rum kommune"
"1349" "Rykkinn" "1349 RYKKINN" "Gate-/veg-adresse" "59.9283" "10.4729" "3" "Koordinatane er kontrollerte av ein yr.no-brukar" "17.09.2013" "219" "BÃ¦rum kommune"
"1350" "Lommedalen" "1350 LOMMEDALEN" "Gate-/veg-adresse" "59.9556" "10.4805" "1" "Koordinatane gjeld postkontoret" "19.09.2013" "219" "BÃ¦rum kommune"
"1351" "Rud" "1351 RUD" "Gate-/veg-adresse" "59.9084" "10.4932" "3" "Koordinatane er kontrollerte av ein yr.no-brukar" "17.09.2013" "219" "BÃ¦rum kommune"
"1352" "KolsÃ¥s" "1352 KOLSÃS" "Gate-/veg-adresse" "59.9167" "10.5005" "5" "Koordinatane er retta av ein yr.no-brukar" "19.09.2013" "219" "BÃ¦rum kommune"
"1353" "BÃ¦rums Verk" "1353 BÃRUMS VERK" "Gate-/veg-adresse" "59.9419" "10.5004" "5" "Koordinatane er retta av ein yr.no-brukar" "19.09.2013" "219" "BÃ¦rum kommune"
"1354" "BÃ¦rums Verk" "1354 BÃRUMS VERK" "Gate-/veg-adresse" "59.9433" "10.4959" "3" "Koordinatane er kontrollerte av ein yr.no-brukar" "17.09.2013" "219" "BÃ¦rum kommune"
"1356" "Bekkestua" "1356 BEKKESTUA" "Gate-/veg-adresse" "59.9185" "10.5787" "3" "Koordinatane er kontrollerte av ein yr.no-brukar" "17.09.2013" "219" "BÃ¦rum kommune"
"1357" "Bekkestua" "1357 BEKKESTUA" "Gate-/veg-adresse" "59.923051" "10.590488" "2" "Koordinatane er retta av Emil MÃ¼ller" "19.09.2013" "219" "BÃ¦rum kommune"
"1358" "Jar" "1358 JAR" "Gate-/veg-adresse" "59.927442" "10.614734" "2" "Koordinatane er retta av Emil MÃ¼ller" "19.09.2013" "219" "BÃ¦rum kommune"
"1359" "Eiksmarka" "1359 EIKSMARKA" "Gate-/veg-adresse" "59.9467" "10.6224" "5" "Koordinatane er retta av ein yr.no-brukar" "17.09.2013" "219" "BÃ¦rum kommune"
"1360" "Fornebu" "1360 FORNEBU" "Gate-/veg-adresse" "59.8998" "10.6291" "3" "Koordinatane er kontrollerte av ein yr.no-brukar" "17.09.2013" "219" "BÃ¦rum kommune"
"1361" "ÃsterÃ¥s" "1361 ÃSTERÃS" "Gate-/veg-adresse" "59.9419" "10.6076" "2" "Koordinatane er retta av Erik Bolstad" "17.09.2013" "219" "BÃ¦rum kommune"
"1362" "Hosle" "1362 HOSLE" "Gate-/veg-adresse" "59.935514" "10.592207" "2" "Koordinatane er retta av Emil MÃ¼ller" "19.09.2013" "219" "BÃ¦rum kommune"
"1363" "HÃ¸vik" "1363 HÃVIK" "Gate-/veg-adresse" "59.899665" "10.572412" "2" "Koordinatane er retta av Emil MÃ¼ller" "19.09.2013" "219" "BÃ¦rum kommune"
"1364" "Fornebu" "1364 FORNEBU" "Gate-/veg-adresse" "59.8949" "10.6258" "5" "Koordinatane er retta av ein yr.no-brukar" "19.09.2013" "219" "BÃ¦rum kommune"
"1365" "Blommenholm" "1365 BLOMMENHOLM" "Gate-/veg-adresse" "59.8971" "10.5549" "5" "Koordinatane er retta av ein yr.no-brukar" "19.09.2013" "219" "BÃ¦rum kommune"
"1366" "Lysaker" "1366 LYSAKER" "Gate-/veg-adresse" "59.9129" "10.6404" "2" "Koordinatane er retta av Erik Bolstad" "19.09.2013" "219" "BÃ¦rum kommune"
"1367" "SnarÃ¸ya" "1367 SNARÃYA" "Gate-/veg-adresse" "59.880069" "10.610706" "2" "Koordinatane er retta av Emil MÃ¼ller" "19.09.2013" "219" "BÃ¦rum kommune"
"1368" "Stabekk" "1368 STABEKK" "Gate-/veg-adresse" "59.9083" "10.6016" "2" "Koordinatane er retta av Erik Bolstad" "17.09.2013" "219" "BÃ¦rum kommune"
"1369" "Stabekk" "1369 STABEKK" "Gate-/veg-adresse" "59.911082" "10.607754" "2" "Koordinatane er retta av Emil MÃ¼ller" "19.09.2013" "219" "BÃ¦rum kommune"
"1371" "Asker" "1371 ASKER" "Postboksar" "59.83324" "10.43218" "1" "Koordinatane gjeld postkontoret" "17.09.2013" "220" "Asker kommune"
"1372" "Asker" "1372 ASKER" "Postboksar" "59.8332" "10.4322" "1" "Koordinatane gjeld postkontoret" "01.09.2009" "220" "Asker kommune"
"1373" "Asker" "1373 ASKER" "Postboksar" "59.8332" "10.4322" "1" "Koordinatane gjeld postkontoret" "01.09.2009" "220" "Asker kommune"
"1375" "Billingstad" "1375 BILLINGSTAD" "Postboksar" "59.8765" "10.4795" "2" "Koordinatane er retta av Erik Bolstad" "01.09.2009" "220" "Asker kommune"
"1376" "Billingstad" "1376 BILLINGSTAD" "Postboksar" "59.8765" "10.4795" "2" "Koordinatane er retta av Erik Bolstad" "01.09.2009" "220" "Asker kommune"
"1377" "Billingstad" "1377 BILLINGSTAD" "Postboksar" "59.8765" "10.4795" "2" "Koordinatane er retta av Erik Bolstad" "01.09.2009" "220" "Asker kommune"
"1378" "Nesbru" "1378 NESBRU" "Postboksar" "59.8559" "10.4896" "1" "Koordinatane gjeld postkontoret" "01.09.2009" "220" "Asker kommune"
"1379" "Nesbru" "1379 NESBRU" "Postboksar" "59.85586" "10.48963" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "220" "Asker kommune"
"1380" "Heggedal" "1380 HEGGEDAL" "Postboksar" "59.78665" "10.43635" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "220" "Asker kommune"
"1381" "Vettre" "1381 VETTRE" "Postboksar" "59.81498" "10.46728" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "220" "Asker kommune"
"1383" "Asker" "1383 ASKER" "Gate-/veg-adresse" "59.8342" "10.4126" "3" "Koordinatane er kontrollerte av ein yr.no-brukar" "17.09.2013" "220" "Asker kommune"
"1384" "Asker" "1384 ASKER" "Gate-/veg-adresse" "59.8446" "10.4382" "3" "Koordinatane er kontrollerte av ein yr.no-brukar" "17.09.2013" "220" "Asker kommune"
"1385" "Asker" "1385 ASKER" "Gate-/veg-adresse" "59.817070" "10.379208" "2" "Koordinatane er retta av Emil MÃ¼ller" "19.09.2013" "220" "Asker kommune"
"1386" "Asker" "1386 ASKER" "Gate-/veg-adresse" "59.8175" "10.448" "3" "Koordinatane er kontrollerte av ein yr.no-brukar" "17.09.2013" "220" "Asker kommune"
"1387" "Asker" "1387 ASKER" "Gate-/veg-adresse" "59.8335" "10.4568" "3" "Koordinatane er kontrollerte av ein yr.no-brukar" "17.09.2013" "220" "Asker kommune"
"1388" "Borgen" "1388 BORGEN" "Gate-/veg-adresse" "59.820313" "10.425615" "2" "Koordinatane er retta av Emil MÃ¼ller" "19.09.2013" "220" "Asker kommune"
"1389" "Heggedal" "1389 HEGGEDAL" "Gate-/veg-adresse" "59.785903" "10.443564" "2" "Koordinatane er retta av Emil MÃ¼ller" "19.09.2013" "220" "Asker kommune"
"1390" "Vollen" "1390 VOLLEN" "Gate-/veg-adresse" "59.809" "10.4852" "2" "Koordinatane er retta av Erik Bolstad" "19.09.2013" "220" "Asker kommune"
"1391" "Vollen" "1391 VOLLEN" "Gate-/veg-adresse" "59.789" "10.4825" "3" "Koordinatane er kontrollerte av ein yr.no-brukar" "17.09.2013" "220" "Asker kommune"
"1392" "Vettre" "1392 VETTRE" "Gate-/veg-adresse" "59.8257" "10.4692" "2" "Koordinatane er retta av Erik Bolstad" "17.09.2013" "220" "Asker kommune"
"1393" "Vollen" "1393 VOLLEN" "Postboksar" "59.79303" "10.48516" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "220" "Asker kommune"
"1394" "Nesbru" "1394 NESBRU" "Gate-/veg-adresse" "59.8705" "10.4956" "2" "Koordinatane er retta av Erik Bolstad" "19.09.2013" "220" "Asker kommune"
"1395" "Hvalstad" "1395 HVALSTAD" "Gate-/veg-adresse" "59.8589" "10.4619" "2" "Koordinatane er retta av Erik Bolstad" "19.09.2013" "220" "Asker kommune"
"1396" "Billingstad" "1396 BILLINGSTAD" "Gate-/veg-adresse" "59.874206" "10.484320" "2" "Koordinatane er retta av Emil MÃ¼ller" "19.09.2013" "220" "Asker kommune"
"1397" "NesÃ¸ya" "1397 NESÃYA" "Gate-/veg-adresse" "59.8702" "10.5289" "2" "Koordinatane er retta av Erik Bolstad" "19.09.2013" "220" "Asker kommune"
"1399" "Asker" "1399 ASKER" "Postboksar" "59.82006" "10.38246" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "220" "Asker kommune"
"1400" "Ski" "1400 SKI" "Gate-/veg-adresse" "59.7152" "10.8382" "5" "Koordinatane er retta av ein yr.no-brukar" "19.09.2013" "213" "Ski kommune"
"1401" "Ski" "1401 SKI" "Postboksar" "59.71808" "10.83798" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "213" "Ski kommune"
"1402" "Ski" "1402 SKI" "Postboksar" "59.7181" "10.838" "1" "Koordinatane gjeld postkontoret" "01.09.2009" "213" "Ski kommune"
"1403" "Langhus" "1403 LANGHUS" "Postboksar" "59.75431" "10.84485" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "213" "Ski kommune"
"1404" "Siggerud" "1404 SIGGERUD" "Gateadresser og postboksar" "59.79123" "10.8813" "1" "Koordinatane gjeld postkontoret" "19.09.2013" "213" "Ski kommune"
"1405" "Langhus" "1405 LANGHUS" "Gate-/veg-adresse" "59.7552" "10.8462" "2" "Koordinatane er retta av Erik Bolstad" "19.09.2013" "213" "Ski kommune"
"1406" "Ski" "1406 SKI" "Gate-/veg-adresse" "59.7198" "10.8141" "3" "Koordinatane er kontrollerte av ein yr.no-brukar" "17.09.2013" "213" "Ski kommune"
"1407" "Vinterbro" "1407 VINTERBRO" "Gate-/veg-adresse" "59.734866" "10.755880" "2" "Koordinatane er retta av Emil MÃ¼ller" "19.09.2013" "214" "Ãs kommune"
"1408" "KrÃ¥kstad" "1408 KRÃKSTAD" "Gate-/veg-adresse" "59.6813" "10.8836" "2" "Koordinatane er retta av Erik Bolstad" "19.09.2013" "213" "Ski kommune"
"1409" "Skotbu" "1409 SKOTBU" "Gate-/veg-adresse" "59.6650" "10.9489" "2" "Koordinatane er retta av Erik Bolstad" "17.09.2013" "213" "Ski kommune"
"1410" "Kolbotn" "1410 KOLBOTN" "Gate-/veg-adresse" "59.81135" "10.79585" "1" "Koordinatane gjeld postkontoret" "17.09.2013" "217" "OppegÃ¥rd kommune"
"1411" "Kolbotn" "1411 KOLBOTN" "Postboksar" "59.8113" "10.7958" "2" "Koordinatane er retta av Erik Bolstad" "28.09.2012" "217" "OppegÃ¥rd kommune"
"1412" "Sofiemyr" "1412 SOFIEMYR" "Gate-/veg-adresse" "59.7972" "10.8171" "2" "Koordinatane er retta av Erik Bolstad" "17.09.2013" "217" "OppegÃ¥rd kommune"
"1413" "TÃ¥rnÃ¥sen" "1413 TÃRNÃSEN" "Gateadresser og postboksar" "59.81904" "10.8152" "1" "Koordinatane gjeld postkontoret" "17.09.2013" "217" "OppegÃ¥rd kommune"
"1414" "TrollÃ¥sen" "1414 TROLLÃSEN" "Gate-/veg-adresse" "59.8191" "10.7802" "2" "Koordinatane er retta av Erik Bolstad" "19.09.2013" "217" "OppegÃ¥rd kommune"
"1415" "OppegÃ¥rd" "1415 OPPEGÃRD" "Gate-/veg-adresse" "59.7671" "10.8111" "2" "Koordinatane er retta av Erik Bolstad" "19.09.2013" "217" "OppegÃ¥rd kommune"
"1416" "OppegÃ¥rd" "1416 OPPEGÃRD" "Postboksar" "59.77398" "10.80323" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "217" "OppegÃ¥rd kommune"
"1417" "Sofiemyr" "1417 SOFIEMYR" "Postboksar" "59.80340" "10.81332" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "217" "OppegÃ¥rd kommune"
"1419" "OppegÃ¥rd" "1419 OPPEGÃRD" "Postboksar" "59.774" "10.8032" "1" "Koordinatane gjeld postkontoret" "01.09.2009" "217" "OppegÃ¥rd kommune"
"1420" "Svartskog" "1420 SVARTSKOG" "Gate-/veg-adresse" "59.7818" "10.7384" "2" "Koordinatane er retta av Erik Bolstad" "19.09.2013" "217" "OppegÃ¥rd kommune"
"1421" "TrollÃ¥sen" "1421 TROLLÃSEN" "Postboksar" "59.81730" "10.77753" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "217" "OppegÃ¥rd kommune"
"1429" "Vinterbro" "1429 VINTERBRO" "Postboksar" "59.7397" "10.7711" "1" "Koordinatane gjeld postkontoret" "01.09.2009" "214" "Ãs kommune"
"1430" "Ãs" "1430 ÃS" "Gate-/veg-adresse" "59.6602" "10.7931" "5" "Koordinatane er retta av ein yr.no-brukar" "17.09.2013" "214" "Ãs kommune"
"1431" "Ãs" "1431 ÃS" "Postboksar" "59.66220" "10.79326" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "214" "Ãs kommune"
"1432" "Ãs" "1432 ÃS" "Postboksar" "59.6661" "10.7663" "5" "Koordinatane er retta av ein yr.no-brukar" "28.09.2012" "214" "Ãs kommune"
"1440" "DrÃ¸bak" "1440 DRÃBAK" "Gate-/veg-adresse" "59.6634" "10.6298" "2" "Koordinatane er retta av Erik Bolstad" "17.09.2013" "215" "Frogn kommune"
"1441" "DrÃ¸bak" "1441 DRÃBAK" "Postboksar" "59.66438" "10.62787" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "215" "Frogn kommune"
"1442" "DrÃ¸bak" "1442 DRÃBAK" "Postboksar" "59.67278" "10.65854" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "215" "Frogn kommune"
"1443" "DrÃ¸bak" "1443 DRÃBAK" "Gate-/veg-adresse" "59.6706" "10.6339" "2" "Koordinatane er retta av Erik Bolstad" "17.09.2013" "215" "Frogn kommune"
"1444" "DrÃ¸bak" "1444 DRÃBAK" "Gate-/veg-adresse" "59.6530" "10.6394" "2" "Koordinatane er retta av Erik Bolstad" "17.09.2013" "215" "Frogn kommune"
"1445" "DrÃ¸bak" "1445 DRÃBAK" "Gate-/veg-adresse" "59.682082" "10.655565" "2" "Koordinatane er retta av Emil MÃ¼ller" "19.09.2013" "215" "Frogn kommune"
"1446" "DrÃ¸bak" "1446 DRÃBAK" "Gate-/veg-adresse" "59.658181" "10.641044" "2" "Koordinatane er retta av Emil MÃ¼ller" "19.09.2013" "215" "Frogn kommune"
"1447" "DrÃ¸bak" "1447 DRÃBAK" "Gate-/veg-adresse" "59.6612" "10.6475" "2" "Koordinatane er retta av Erik Bolstad" "17.09.2013" "215" "Frogn kommune"
"1448" "DrÃ¸bak" "1448 DRÃBAK" "Gate-/veg-adresse" "59.6700" "10.6557" "2" "Koordinatane er retta av Erik Bolstad" "17.09.2013" "215" "Frogn kommune"
"1449" "DrÃ¸bak" "1449 DRÃBAK" "Gate-/veg-adresse" "59.6840" "10.7118" "2" "Koordinatane er retta av Erik Bolstad" "19.09.2013" "215" "Frogn kommune"
"1450" "Nesoddtangen" "1450 NESODDTANGEN" "Gate-/veg-adresse" "59.8655" "10.6594" "2" "Koordinatane er retta av Erik Bolstad" "19.09.2013" "216" "Nesodden kommune"
"1451" "Nesoddtangen" "1451 NESODDTANGEN" "Postboksar" "59.85603" "10.66109" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "216" "Nesodden kommune"
"1453" "BjÃ¸rnemyr" "1453 BJÃRNEMYR" "Gate-/veg-adresse" "59.827657" "10.635801" "2" "Koordinatane er retta av Emil MÃ¼ller" "19.09.2013" "216" "Nesodden kommune"
"1454" "Fagerstrand" "1454 FAGERSTRAND" "Gate-/veg-adresse" "59.742903" "10.601140" "2" "Koordinatane er retta av Emil MÃ¼ller" "19.09.2013" "216" "Nesodden kommune"
"1455" "Nordre Frogn" "1455 NORDRE FROGN" "Gate-/veg-adresse" "59.7364" "10.7154" "2" "Koordinatane er retta av Erik Bolstad" "19.09.2013" "215" "Frogn kommune"
"1457" "Fagerstrand" "1457 FAGERSTRAND" "Postboksar" "59.74220" "10.60306" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "216" "Nesodden kommune"
"1458" "Fjellstrand" "1458 FJELLSTRAND" "Gate-/veg-adresse" "59.7941" "10.6069" "2" "Koordinatane er retta av Erik Bolstad" "17.09.2013" "216" "Nesodden kommune"
"1459" "Fjellstrand (ikkje i bruk)" "1459 FJELLSTRAND (ikkje i bruk)" "Postboksar" "59.7942" "10.6069" "2" "Koordinatane er retta av Erik Bolstad" "07.09.2012" "216" "Nesodden kommune"
"1468" "Finstadjordet" "1468 FINSTADJORDET" "Postboksar" "59.91451" "10.9680" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "230" "LÃ¸renskog kommune"
"1469" "Rasta" "1469 RASTA" "Postboksar" "59.92339" "10.93701" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "230" "LÃ¸renskog kommune"
"1470" "LÃ¸renskog" "1470 LÃRENSKOG" "Gate-/veg-adresse" "59.9373" "10.955" "5" "Koordinatane er retta av ein yr.no-brukar" "17.09.2013" "230" "LÃ¸renskog kommune"
"1471" "LÃ¸renskog" "1471 LÃRENSKOG" "Postboksar" "59.92140" "10.95402" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "230" "LÃ¸renskog kommune"
"1472" "Fjellhamar" "1472 FJELLHAMAR" "Gate-/veg-adresse" "59.9396" "10.9843" "2" "Koordinatane er retta av Erik Bolstad" "17.09.2013" "230" "LÃ¸renskog kommune"
"1473" "LÃ¸renskog" "1473 LÃRENSKOG" "Gate-/veg-adresse" "59.9284" "10.9572" "5" "Koordinatane er retta av ein yr.no-brukar" "17.09.2013" "230" "LÃ¸renskog kommune"
"1474" "Nordbyhagen" "1474 NORDBYHAGEN" "Gate-/veg-adresse" "59.9327" "10.9911" "2" "Koordinatane er retta av Erik Bolstad" "17.09.2013" "230" "LÃ¸renskog kommune"
"1475" "Finstadjordet" "1475 FINSTADJORDET" "Gate-/veg-adresse" "59.9145" "10.968" "3" "Koordinatane er kontrollerte av ein yr.no-brukar" "17.09.2013" "230" "LÃ¸renskog kommune"
"1476" "Rasta" "1476 RASTA" "Gate-/veg-adresse" "59.9205" "10.9385" "2" "Koordinatane er retta av Erik Bolstad" "17.09.2013" "230" "LÃ¸renskog kommune"
"1477" "Fjellhamar" "1477 FJELLHAMAR" "Postboksar" "59.94094" "10.97969" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "230" "LÃ¸renskog kommune"
"1478" "LÃ¸renskog" "1478 LÃRENSKOG" "Fleire bruksomrÃ¥de" "59.9329" "10.9964" "2" "Koordinatane er retta av Erik Bolstad" "01.11.2013" "230" "LÃ¸renskog kommune"
"1479" "Kurland" "1479 KURLAND" "Gate-/veg-adresse" "59.9323" "11.0203" "2" "Koordinatane er retta av Erik Bolstad" "17.09.2013" "230" "LÃ¸renskog kommune"
"1480" "Slattum" "1480 SLATTUM" "Gate-/veg-adresse" "60.0084" "10.9168" "2" "Koordinatane er retta av Erik Bolstad" "19.09.2013" "233" "Nittedal kommune"
"1481" "Hagan" "1481 HAGAN" "Gate-/veg-adresse" "59.99743" "10.91843" "1" "Koordinatane gjeld postkontoret" "19.09.2013" "233" "Nittedal kommune"
"1482" "Nittedal" "1482 NITTEDAL" "Gate-/veg-adresse" "60.0570" "10.8613" "2" "Koordinatane er retta av Erik Bolstad" "17.09.2013" "233" "Nittedal kommune"
"1483" "Hagan" "1483 HAGAN" "Postboksar" "59.9971" "10.918" "1" "Koordinatane gjeld postkontoret" "23.12.2011" "233" "Nittedal kommune"
