"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
"0017" "Oslo (ikkje i bruk)" "0017 OSLO (ikkje i bruk)" "Firma/organisasjon med eige postnummer" "59.9172" "10.5049" "2" "Koordinatane er retta av Erik Bolstad" "18.09.2013" "219" "BÃ¦rum kommune"
"0080" "Oslo" "0080 OSLO" "Firma/organisasjon med eige postnummer" "60.1895" "11.1055" "2" "Koordinatane er retta av Erik Bolstad" "08.02.2012" "235" "Ullensaker kommune"
"1300" "Sandvika" "1300 SANDVIKA" "Postboksar" "59.89209" "10.52115" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "219" "BÃ¦rum kommune"
"1301" "Sandvika" "1301 SANDVIKA" "Postboksar" "59.8918" "10.5258" "2" "Koordinatane er retta av Erik Bolstad" "28.09.2012" "219" "BÃ¦rum kommune"
"1302" "Sandvika" "1302 SANDVIKA" "Postboksar" "59.8918" "10.5258" "2" "Koordinatane er retta av Erik Bolstad" "28.09.2012" "219" "BÃ¦rum kommune"
"1303" "Sandvika" "1303 SANDVIKA" "Postboksar" "59.8918" "10.5258" "2" "Koordinatane er retta av Erik Bolstad" "28.09.2012" "219" "BÃ¦rum kommune"
"1304" "Sandvika" "1304 SANDVIKA" "Fleire bruksomrÃ¥de" "59.8894" "10.5238" "2" "Koordinatane er retta av Erik Bolstad" "01.11.2013" "219" "BÃ¦rum kommune"
"1305" "Haslum" "1305 HASLUM" "Postboksar" "59.91755" "10.56092" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "219" "BÃ¦rum kommune"
"1306" "Sandvika" "1306 SANDVIKA" "Postboksar" "59.9102" "10.542" "5" "Koordinatane er retta av ein yr.no-brukar" "17.09.2013" "219" "BÃ¦rum kommune"
"1309" "Rud" "1309 RUD" "Postboksar" "59.9066" "10.498" "5" "Koordinatane er retta av ein yr.no-brukar" "01.09.2009" "219" "BÃ¦rum kommune"
"1311" "HÃ¸vikodden" "1311 HÃVIKODDEN" "Gate-/veg-adresse" "59.8886" "10.5534" "2" "Koordinatane er retta av Erik Bolstad" "17.09.2013" "219" "BÃ¦rum kommune"
"1312" "Slependen" "1312 SLEPENDEN" "Postboksar" "59.8783" "10.5047" "1" "Koordinatane gjeld postkontoret" "01.09.2009" "219" "BÃ¦rum kommune"
"1313" "VÃ¸yenenga" "1313 VÃYENENGA" "Postboksar" "59.9081" "10.4774" "2" "Koordinatane er retta av Erik Bolstad" "28.09.2012" "219" "BÃ¦rum kommune"
"1314" "VÃ¸yenenga" "1314 VÃYENENGA" "Postboksar" "59.90841" "10.47608" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "219" "BÃ¦rum kommune"
"1316" "Eiksmarka" "1316 EIKSMARKA" "Postboksar" "59.94680" "10.62137" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "219" "BÃ¦rum kommune"
"1317" "BÃ¦rums Verk" "1317 BÃRUMS VERK" "Postboksar" "59.94245" "10.50119" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "219" "BÃ¦rum kommune"
"1318" "Bekkestua" "1318 BEKKESTUA" "Postboksar" "59.91785" "10.58744" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "219" "BÃ¦rum kommune"
"1319" "Bekkestua" "1319 BEKKESTUA" "Postboksar" "59.9179" "10.5874" "1" "Koordinatane gjeld postkontoret" "01.09.2009" "219" "BÃ¦rum kommune"
"1321" "Stabekk" "1321 STABEKK" "Postboksar" "59.90854" "10.60544" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "219" "BÃ¦rum kommune"
"1322" "HÃ¸vik" "1322 HÃVIK" "Postboksar" "59.8991" "10.5795" "2" "Koordinatane er retta av Erik Bolstad" "28.09.2012" "219" "BÃ¦rum kommune"
"1323" "HÃ¸vik" "1323 HÃVIK" "Postboksar" "59.8991" "10.5795" "2" "Koordinatane er retta av Erik Bolstad" "28.09.2012" "219" "BÃ¦rum kommune"
"1324" "Lysaker" "1324 LYSAKER" "Postboksar" "59.91177" "10.63642" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "219" "BÃ¦rum kommune"
"1325" "Lysaker" "1325 LYSAKER" "Postboksar" "59.9176" "10.6281" "3" "Koordinatane er kontrollerte av ein yr.no-brukar" "01.09.2009" "219" "BÃ¦rum kommune"
"1326" "Lysaker" "1326 LYSAKER" "Postboksar" "59.9176" "10.6281" "3" "Koordinatane er kontrollerte av ein yr.no-brukar" "01.09.2009" "219" "BÃ¦rum kommune"
"1327" "Lysaker" "1327 LYSAKER" "Postboksar" "59.9176" "10.6281" "3" "Koordinatane er kontrollerte av ein yr.no-brukar" "01.09.2009" "219" "BÃ¦rum kommune"
"1328" "HÃ¸vik" "1328 HÃVIK" "Postboksar" "59.89918" "10.57952" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "219" "BÃ¦rum kommune"
"1329" "Lommedalen" "1329 LOMMEDALEN" "Postboksar" "59.95560" "10.48049" "1" "Koordinatane gjeld postkontoret" "11.10.2011" "219" "BÃ¦rum kommune"
"1330" "Fornebu" "1330 FORNEBU" "Postboksar" "59.8936" "10.626" "3" "Koordinatane er kontrollerte av ein yr.no-brukar" "01.09.2009" "219" "BÃ¦rum kommune"
"1331" "Fornebu" "1331 FORNEBU" "Fleire bruksomrÃ¥de" "59.8997" "10.6289" "5" "Koordinatane er retta av ein yr.no-brukar" "28.09.2012" "219" "BÃ¦rum kommune"
